number_processes,Size,Latency
2,2,0.23
2,4,0.23
2,8,0.16
2,16,0.15
2,32,0.14
2,64,0.14
2,128,0.18
2,256,0.20
2,512,0.20
2,1024,0.22
4,2,0.22
4,4,0.21
4,8,0.21
4,16,0.13
4,32,0.13
4,64,0.13
4,128,0.23
4,256,0.24
4,512,0.26
4,1024,0.33
8,2,0.98
8,4,0.94
8,8,0.92
8,16,0.97
8,32,1.07
8,64,1.01
8,128,1.61
8,256,1.54
8,512,1.69
8,1024,1.79
16,2,1.61
16,4,1.54
16,8,1.56
16,16,1.65
16,32,1.76
16,64,1.76
16,128,3.10
16,256,3.21
16,512,3.32
16,1024,3.90
32,2,3.11
32,4,3.14
32,8,3.08
32,16,3.19
32,32,3.42
32,64,3.45
32,128,7.02
32,256,7.29
32,512,7.46
32,1024,8.50
64,2,5.15
64,4,5.01
64,8,5.01
64,16,5.23
64,32,5.72
64,64,5.99
64,128,14.99
64,256,15.39
64,512,15.57
64,1024,17.27
128,2,12.91
128,4,13.27
128,8,13.06
128,16,13.64
128,32,14.93
128,64,14.46
128,128,37.15
128,256,38.21
128,512,38.26
128,1024,42.06
256,2,37.19
256,4,39.01
256,8,37.54
256,16,39.08
256,32,40.75
256,64,42.43
256,128,79.96
256,256,81.90
256,512,103.67
256,1024,94.85
