number_processes,Size,Latency
2,2,0.16
2,4,0.16
2,8,0.15
2,16,0.16
2,32,0.17
2,64,0.15
2,128,0.20
2,256,0.21
2,512,0.22
2,1024,0.24
4,2,0.18
4,4,0.18
4,8,0.18
4,16,0.18
4,32,0.18
4,64,0.18
4,128,0.31
4,256,0.30
4,512,0.32
4,1024,0.37
8,2,0.85
8,4,0.88
8,8,0.84
8,16,0.85
8,32,0.95
8,64,0.94
8,128,1.24
8,256,1.29
8,512,1.40
8,1024,1.58
16,2,1.16
16,4,1.17
16,8,1.14
16,16,1.20
16,32,1.46
16,64,1.43
16,128,2.07
16,256,2.12
16,512,2.17
16,1024,2.57
32,2,1.75
32,4,1.79
32,8,1.75
32,16,1.77
32,32,1.97
32,64,2.00
32,128,3.05
32,256,3.12
32,512,3.24
32,1024,3.80
64,2,2.17
64,4,2.21
64,8,2.19
64,16,2.21
64,32,2.95
64,64,2.70
64,128,3.82
64,256,4.02
64,512,4.09
64,1024,4.86
128,2,3.43
128,4,3.59
128,8,3.54
128,16,3.64
128,32,3.95
128,64,4.01
128,128,5.86
128,256,6.17
128,512,6.06
128,1024,6.61
256,2,5.23
256,4,5.35
256,8,5.31
256,16,5.47
256,32,6.66
256,64,6.16
256,128,7.52
256,256,7.55
256,512,21.25
256,1024,22.53
