cores,threads,width,height,time
213,1,14594,14594,0.022122
214,1,14628,14628,0.024118
215,1,14662,14662,0.019629
216,1,14696,14696,0.016317
217,1,14730,14730,0.018850
218,1,14764,14764,0.024207
219,1,14798,14798,0.022223
220,1,14832,14832,0.016256
221,1,14866,14866,0.015817
222,1,14899,14899,0.018305
223,1,14933,14933,0.030779
224,1,14966,14966,0.015783
225,1,15000,15000,0.015875
226,1,15033,15033,0.024116
227,1,15066,15066,0.031008
228,1,15099,15099,0.016266
229,1,15132,15132,0.031483
230,1,15165,15165,0.017215
231,1,15198,15198,0.016450
232,1,15231,15231,0.017353
233,1,15264,15264,0.030774
234,1,15297,15297,0.015825
235,1,15329,15329,0.019549
236,1,15362,15362,0.021286
237,1,15394,15394,0.022143
238,1,15427,15427,0.015888
239,1,15459,15459,0.030860
240,1,15491,15491,
241,1,15524,15524,0.030701
242,1,15556,15556,0.016471
243,1,15588,15588,0.017158
244,1,15620,15620,0.020918
245,1,15652,15652,0.018401
246,1,15684,15684,0.018472
247,1,15716,15716,0.016064
248,1,15748,15748,0.017415
249,1,15779,15779,0.022404
250,1,15811,15811,0.016796
251,1,15842,15842,0.031357
252,1,15874,15874,0.015733
253,1,15905,15905,0.016632
254,1,15937,15937,0.024076
255,1,15968,15968,0.016159
256,1,16000,16000,0.016426
