cores,threads,width,height,time
241,1,15524,15524,1.272643
242,1,15556,15556,1.276922
243,1,15588,15588,1.283363
244,1,15620,15620,1.281040
245,1,15652,15652,1.298600
246,1,15684,15684,1.305088
247,1,15716,15716,1.317526
248,1,15748,15748,1.292105
249,1,15779,15779,1.346743
250,1,15811,15811,1.345417
251,1,15842,15842,1.332056
252,1,15874,15874,1.327923
253,1,15905,15905,1.386281
254,1,15937,15937,1.494940
255,1,15968,15968,1.323692
256,1,16000,16000,1.325347
