STRIPS OMP: cores=1, threads=1, width=10000, height=10000, time=55.881374
STRIPS OMP: cores=1, threads=2, width=10000, height=10000, time=27.966598
STRIPS OMP: cores=1, threads=3, width=10000, height=10000, time=18.643240
STRIPS OMP: cores=1, threads=4, width=10000, height=10000, time=14.085168
STRIPS OMP: cores=1, threads=5, width=10000, height=10000, time=11.225146
STRIPS OMP: cores=1, threads=6, width=10000, height=10000, time=9.498656
STRIPS OMP: cores=1, threads=7, width=10000, height=10000, time=8.226375
STRIPS OMP: cores=1, threads=8, width=10000, height=10000, time=7.159084
STRIPS OMP: cores=1, threads=9, width=10000, height=10000, time=6.402614
STRIPS OMP: cores=1, threads=10, width=10000, height=10000, time=5.771836
STRIPS OMP: cores=1, threads=11, width=10000, height=10000, time=5.246291
STRIPS OMP: cores=1, threads=12, width=10000, height=10000, time=4.828944
STRIPS OMP: cores=1, threads=13, width=10000, height=10000, time=4.464718
STRIPS OMP: cores=1, threads=14, width=10000, height=10000, time=4.160251
STRIPS OMP: cores=1, threads=15, width=10000, height=10000, time=3.894396
STRIPS OMP: cores=1, threads=16, width=10000, height=10000, time=3.646172
STRIPS OMP: cores=1, threads=17, width=10000, height=10000, time=3.447358
STRIPS OMP: cores=1, threads=18, width=10000, height=10000, time=3.250156
STRIPS OMP: cores=1, threads=19, width=10000, height=10000, time=3.106349
STRIPS OMP: cores=1, threads=20, width=10000, height=10000, time=2.950981
STRIPS OMP: cores=1, threads=21, width=10000, height=10000, time=2.820105
STRIPS OMP: cores=1, threads=22, width=10000, height=10000, time=2.701707
STRIPS OMP: cores=1, threads=23, width=10000, height=10000, time=2.586668
STRIPS OMP: cores=1, threads=24, width=10000, height=10000, time=2.476047
STRIPS OMP: cores=1, threads=25, width=10000, height=10000, time=2.387241
STRIPS OMP: cores=1, threads=26, width=10000, height=10000, time=2.308813
STRIPS OMP: cores=1, threads=27, width=10000, height=10000, time=2.214577
STRIPS OMP: cores=1, threads=28, width=10000, height=10000, time=2.151299
STRIPS OMP: cores=1, threads=29, width=10000, height=10000, time=2.079905
STRIPS OMP: cores=1, threads=30, width=10000, height=10000, time=2.015777
STRIPS OMP: cores=1, threads=31, width=10000, height=10000, time=1.946795
STRIPS OMP: cores=1, threads=32, width=10000, height=10000, time=1.897071
STRIPS OMP: cores=1, threads=33, width=10000, height=10000, time=1.865349
STRIPS OMP: cores=1, threads=34, width=10000, height=10000, time=1.828108
STRIPS OMP: cores=1, threads=35, width=10000, height=10000, time=1.773425
STRIPS OMP: cores=1, threads=36, width=10000, height=10000, time=1.718423
STRIPS OMP: cores=1, threads=37, width=10000, height=10000, time=1.670529
STRIPS OMP: cores=1, threads=38, width=10000, height=10000, time=1.628124
STRIPS OMP: cores=1, threads=39, width=10000, height=10000, time=1.579590
STRIPS OMP: cores=1, threads=40, width=10000, height=10000, time=1.513810
STRIPS OMP: cores=1, threads=41, width=10000, height=10000, time=1.496874
STRIPS OMP: cores=1, threads=42, width=10000, height=10000, time=1.465737
STRIPS OMP: cores=1, threads=43, width=10000, height=10000, time=1.427186
STRIPS OMP: cores=1, threads=44, width=10000, height=10000, time=1.404627
STRIPS OMP: cores=1, threads=45, width=10000, height=10000, time=1.370326
STRIPS OMP: cores=1, threads=46, width=10000, height=10000, time=1.358934
STRIPS OMP: cores=1, threads=47, width=10000, height=10000, time=1.334068
STRIPS OMP: cores=1, threads=48, width=10000, height=10000, time=1.310975
STRIPS OMP: cores=1, threads=49, width=10000, height=10000, time=1.283130
STRIPS OMP: cores=1, threads=50, width=10000, height=10000, time=1.240829
STRIPS OMP: cores=1, threads=51, width=10000, height=10000, time=1.225542
STRIPS OMP: cores=1, threads=52, width=10000, height=10000, time=1.202185
STRIPS OMP: cores=1, threads=53, width=10000, height=10000, time=1.195636
STRIPS OMP: cores=1, threads=54, width=10000, height=10000, time=1.170302
STRIPS OMP: cores=1, threads=55, width=10000, height=10000, time=1.146639
STRIPS OMP: cores=1, threads=56, width=10000, height=10000, time=1.131514
STRIPS OMP: cores=1, threads=57, width=10000, height=10000, time=1.112210
STRIPS OMP: cores=1, threads=58, width=10000, height=10000, time=1.102169
STRIPS OMP: cores=1, threads=59, width=10000, height=10000, time=1.070369
STRIPS OMP: cores=1, threads=60, width=10000, height=10000, time=1.053941
STRIPS OMP: cores=1, threads=61, width=10000, height=10000, time=1.041171
STRIPS OMP: cores=1, threads=62, width=10000, height=10000, time=1.034647
STRIPS OMP: cores=1, threads=63, width=10000, height=10000, time=1.039834
STRIPS OMP: cores=1, threads=64, width=10000, height=10000, time=0.993826
STRIPS OMP: cores=1, threads=65, width=10000, height=10000, time=1.753149
STRIPS OMP: cores=1, threads=66, width=10000, height=10000, time=1.721975
STRIPS OMP: cores=1, threads=67, width=10000, height=10000, time=1.697909
STRIPS OMP: cores=1, threads=68, width=10000, height=10000, time=1.674639
STRIPS OMP: cores=1, threads=69, width=10000, height=10000, time=1.660138
STRIPS OMP: cores=1, threads=70, width=10000, height=10000, time=1.673090
STRIPS OMP: cores=1, threads=71, width=10000, height=10000, time=1.628576
STRIPS OMP: cores=1, threads=72, width=10000, height=10000, time=1.621054
STRIPS OMP: cores=1, threads=73, width=10000, height=10000, time=1.652037
STRIPS OMP: cores=1, threads=74, width=10000, height=10000, time=1.666810
STRIPS OMP: cores=1, threads=75, width=10000, height=10000, time=1.586899
STRIPS OMP: cores=1, threads=76, width=10000, height=10000, time=1.521325
STRIPS OMP: cores=1, threads=77, width=10000, height=10000, time=1.540642
STRIPS OMP: cores=1, threads=78, width=10000, height=10000, time=1.546529
STRIPS OMP: cores=1, threads=79, width=10000, height=10000, time=1.504189
STRIPS OMP: cores=1, threads=80, width=10000, height=10000, time=1.472539
STRIPS OMP: cores=1, threads=81, width=10000, height=10000, time=1.515508
STRIPS OMP: cores=1, threads=82, width=10000, height=10000, time=1.463471
STRIPS OMP: cores=1, threads=83, width=10000, height=10000, time=1.442481
STRIPS OMP: cores=1, threads=84, width=10000, height=10000, time=1.447610
STRIPS OMP: cores=1, threads=85, width=10000, height=10000, time=1.402537
STRIPS OMP: cores=1, threads=86, width=10000, height=10000, time=1.413232
STRIPS OMP: cores=1, threads=87, width=10000, height=10000, time=1.434646
STRIPS OMP: cores=1, threads=88, width=10000, height=10000, time=1.389109
STRIPS OMP: cores=1, threads=89, width=10000, height=10000, time=1.395115
STRIPS OMP: cores=1, threads=90, width=10000, height=10000, time=1.377361
STRIPS OMP: cores=1, threads=91, width=10000, height=10000, time=1.353259
STRIPS OMP: cores=1, threads=92, width=10000, height=10000, time=1.316025
STRIPS OMP: cores=1, threads=93, width=10000, height=10000, time=1.325111
STRIPS OMP: cores=1, threads=94, width=10000, height=10000, time=1.333292
STRIPS OMP: cores=1, threads=95, width=10000, height=10000, time=1.299355
STRIPS OMP: cores=1, threads=96, width=10000, height=10000, time=1.286894
STRIPS OMP: cores=1, threads=97, width=10000, height=10000, time=1.270334
STRIPS OMP: cores=1, threads=98, width=10000, height=10000, time=1.255383
STRIPS OMP: cores=1, threads=99, width=10000, height=10000, time=1.251519
STRIPS OMP: cores=1, threads=100, width=10000, height=10000, time=1.213637
STRIPS OMP: cores=1, threads=101, width=10000, height=10000, time=1.232056
STRIPS OMP: cores=1, threads=102, width=10000, height=10000, time=1.206113
STRIPS OMP: cores=1, threads=103, width=10000, height=10000, time=1.197570
STRIPS OMP: cores=1, threads=104, width=10000, height=10000, time=1.200192
STRIPS OMP: cores=1, threads=105, width=10000, height=10000, time=1.176426
STRIPS OMP: cores=1, threads=106, width=10000, height=10000, time=1.179385
STRIPS OMP: cores=1, threads=107, width=10000, height=10000, time=1.156933
STRIPS OMP: cores=1, threads=108, width=10000, height=10000, time=1.141589
STRIPS OMP: cores=1, threads=109, width=10000, height=10000, time=1.127220
STRIPS OMP: cores=1, threads=110, width=10000, height=10000, time=1.110435
