COLS: cores=1, threads=1, width=10000, height=10000, time=55.870678
COLS: cores=2, threads=1, width=10000, height=10000, time=27.932125
COLS: cores=3, threads=1, width=10000, height=10000, time=11.221969
COLS: cores=4, threads=1, width=10000, height=10000, time=8.291729
COLS: cores=5, threads=1, width=10000, height=10000, time=2.673258
COLS: cores=6, threads=1, width=10000, height=10000, time=1.428336
COLS: cores=7, threads=1, width=10000, height=10000, time=1.314639
COLS: cores=8, threads=1, width=10000, height=10000, time=0.520795
COLS: cores=9, threads=1, width=10000, height=10000, time=0.296379
COLS: cores=10, threads=1, width=10000, height=10000, time=0.301980
COLS: cores=11, threads=1, width=10000, height=10000, time=0.456089
COLS: cores=12, threads=1, width=10000, height=10000, time=0.193317
COLS: cores=13, threads=1, width=10000, height=10000, time=0.316540
COLS: cores=14, threads=1, width=10000, height=10000, time=0.176404
COLS: cores=15, threads=1, width=10000, height=10000, time=0.149985
COLS: cores=16, threads=1, width=10000, height=10000, time=0.136977
COLS: cores=17, threads=1, width=10000, height=10000, time=0.194509
COLS: cores=18, threads=1, width=10000, height=10000, time=0.123339
COLS: cores=19, threads=1, width=10000, height=10000, time=0.166682
COLS: cores=20, threads=1, width=10000, height=10000, time=0.107475
COLS: cores=21, threads=1, width=10000, height=10000, time=0.104765
COLS: cores=22, threads=1, width=10000, height=10000, time=0.108776
COLS: cores=23, threads=1, width=10000, height=10000, time=0.135059
COLS: cores=24, threads=1, width=10000, height=10000, time=0.088361
COLS: cores=25, threads=1, width=10000, height=10000, time=0.082731
COLS: cores=26, threads=1, width=10000, height=10000, time=0.091487
COLS: cores=27, threads=1, width=10000, height=10000, time=0.080628
COLS: cores=28, threads=1, width=10000, height=10000, time=0.074987
COLS: cores=29, threads=1, width=10000, height=10000, time=0.105951
COLS: cores=30, threads=1, width=10000, height=10000, time=0.067793
COLS: cores=31, threads=1, width=10000, height=10000, time=0.099484
COLS: cores=32, threads=1, width=10000, height=10000, time=0.064958
COLS: cores=33, threads=1, width=10000, height=10000, time=0.065209
COLS: cores=34, threads=1, width=10000, height=10000, time=0.069231
COLS: cores=35, threads=1, width=10000, height=10000, time=0.057343
COLS: cores=36, threads=1, width=10000, height=10000, time=0.053923
COLS: cores=37, threads=1, width=10000, height=10000, time=0.083722
COLS: cores=38, threads=1, width=10000, height=10000, time=0.061763
COLS: cores=39, threads=1, width=10000, height=10000, time=0.054977
COLS: cores=40, threads=1, width=10000, height=10000, time=0.049562
COLS: cores=41, threads=1, width=10000, height=10000, time=0.075637
COLS: cores=42, threads=1, width=10000, height=10000, time=0.045438
COLS: cores=43, threads=1, width=10000, height=10000, time=0.072264
COLS: cores=44, threads=1, width=10000, height=10000, time=0.047406
COLS: cores=45, threads=1, width=10000, height=10000, time=0.043719
COLS: cores=46, threads=1, width=10000, height=10000, time=0.050666
COLS: cores=47, threads=1, width=10000, height=10000, time=0.066522
COLS: cores=48, threads=1, width=10000, height=10000, time=0.039204
COLS: cores=49, threads=1, width=10000, height=10000, time=0.037087
COLS: cores=50, threads=1, width=10000, height=10000, time=0.039237
COLS: cores=51, threads=1, width=10000, height=10000, time=0.041704
COLS: cores=52, threads=1, width=10000, height=10000, time=0.039039
COLS: cores=53, threads=1, width=10000, height=10000, time=0.059078
COLS: cores=54, threads=1, width=10000, height=10000, time=0.034498
COLS: cores=55, threads=1, width=10000, height=10000, time=0.035404
COLS: cores=56, threads=1, width=10000, height=10000, time=0.031963
COLS: cores=57, threads=1, width=10000, height=10000, time=0.037312
COLS: cores=58, threads=1, width=10000, height=10000, time=0.040106
COLS: cores=59, threads=1, width=10000, height=10000, time=0.053197
COLS: cores=60, threads=1, width=10000, height=10000, time=0.030877
COLS: cores=61, threads=1, width=10000, height=10000, time=0.051393
COLS: cores=62, threads=1, width=10000, height=10000, time=0.037496
COLS: cores=63, threads=1, width=10000, height=10000, time=0.028318
COLS: cores=64, threads=1, width=10000, height=10000, time=0.026931
COLS: cores=65, threads=1, width=10000, height=10000, time=0.029782
COLS: cores=66, threads=1, width=10000, height=10000, time=0.027894
COLS: cores=67, threads=1, width=10000, height=10000, time=0.047081
COLS: cores=68, threads=1, width=10000, height=10000, time=0.029747
COLS: cores=69, threads=1, width=10000, height=10000, time=0.030771
COLS: cores=70, threads=1, width=10000, height=10000, time=0.025242
COLS: cores=71, threads=1, width=10000, height=10000, time=0.044309
COLS: cores=72, threads=1, width=10000, height=10000, time=0.023774
COLS: cores=73, threads=1, width=10000, height=10000, time=0.042886
COLS: cores=74, threads=1, width=10000, height=10000, time=0.031405
COLS: cores=75, threads=1, width=10000, height=10000, time=0.025390
COLS: cores=76, threads=1, width=10000, height=10000, time=0.026364
COLS: cores=77, threads=1, width=10000, height=10000, time=0.022576
COLS: cores=78, threads=1, width=10000, height=10000, time=0.023253
COLS: cores=79, threads=1, width=10000, height=10000, time=0.039892
COLS: cores=80, threads=1, width=10000, height=10000, time=0.021161
