COLS: cores=1, threads=1, width=10000, height=10000, time=55.967771
COLS: cores=2, threads=1, width=10000, height=10000, time=27.933507
COLS: cores=3, threads=1, width=10000, height=10000, time=33.613584
COLS: cores=4, threads=1, width=10000, height=10000, time=22.566376
COLS: cores=5, threads=1, width=10000, height=10000, time=22.114515
COLS: cores=6, threads=1, width=10000, height=10000, time=16.882244
COLS: cores=7, threads=1, width=10000, height=10000, time=16.084718
COLS: cores=8, threads=1, width=10000, height=10000, time=13.517012
COLS: cores=9, threads=1, width=10000, height=10000, time=12.661444
COLS: cores=10, threads=1, width=10000, height=10000, time=11.059229
COLS: cores=11, threads=1, width=10000, height=10000, time=10.428505
COLS: cores=12, threads=1, width=10000, height=10000, time=9.343676
COLS: cores=13, threads=1, width=10000, height=10000, time=8.898170
COLS: cores=14, threads=1, width=10000, height=10000, time=8.029354
COLS: cores=15, threads=1, width=10000, height=10000, time=7.748452
COLS: cores=16, threads=1, width=10000, height=10000, time=7.076400
COLS: cores=17, threads=1, width=10000, height=10000, time=6.846337
COLS: cores=18, threads=1, width=10000, height=10000, time=6.339481
COLS: cores=19, threads=1, width=10000, height=10000, time=6.140515
COLS: cores=20, threads=1, width=10000, height=10000, time=5.717970
COLS: cores=21, threads=1, width=10000, height=10000, time=5.566011
COLS: cores=22, threads=1, width=10000, height=10000, time=5.226799
COLS: cores=23, threads=1, width=10000, height=10000, time=5.085421
COLS: cores=24, threads=1, width=10000, height=10000, time=4.809305
COLS: cores=25, threads=1, width=10000, height=10000, time=4.691919
COLS: cores=26, threads=1, width=10000, height=10000, time=4.463431
COLS: cores=27, threads=1, width=10000, height=10000, time=4.353644
COLS: cores=28, threads=1, width=10000, height=10000, time=4.143348
COLS: cores=29, threads=1, width=10000, height=10000, time=4.055298
COLS: cores=30, threads=1, width=10000, height=10000, time=3.880049
COLS: cores=31, threads=1, width=10000, height=10000, time=3.799977
COLS: cores=32, threads=1, width=10000, height=10000, time=3.659405
COLS: cores=33, threads=1, width=10000, height=10000, time=3.572074
COLS: cores=34, threads=1, width=10000, height=10000, time=3.441157
COLS: cores=35, threads=1, width=10000, height=10000, time=3.374962
COLS: cores=36, threads=1, width=10000, height=10000, time=3.260228
COLS: cores=37, threads=1, width=10000, height=10000, time=3.192697
COLS: cores=38, threads=1, width=10000, height=10000, time=3.086828
COLS: cores=39, threads=1, width=10000, height=10000, time=3.019253
COLS: cores=40, threads=1, width=10000, height=10000, time=2.936831
COLS: cores=41, threads=1, width=10000, height=10000, time=2.882850
COLS: cores=42, threads=1, width=10000, height=10000, time=2.801441
COLS: cores=43, threads=1, width=10000, height=10000, time=2.760683
COLS: cores=44, threads=1, width=10000, height=10000, time=2.668684
COLS: cores=45, threads=1, width=10000, height=10000, time=2.625638
COLS: cores=46, threads=1, width=10000, height=10000, time=2.555170
COLS: cores=47, threads=1, width=10000, height=10000, time=2.530125
COLS: cores=48, threads=1, width=10000, height=10000, time=2.453573
COLS: cores=49, threads=1, width=10000, height=10000, time=2.425490
COLS: cores=50, threads=1, width=10000, height=10000, time=2.360988
COLS: cores=51, threads=1, width=10000, height=10000, time=2.332298
COLS: cores=52, threads=1, width=10000, height=10000, time=2.271463
COLS: cores=53, threads=1, width=10000, height=10000, time=2.244413
COLS: cores=54, threads=1, width=10000, height=10000, time=2.188708
COLS: cores=55, threads=1, width=10000, height=10000, time=2.163377
COLS: cores=56, threads=1, width=10000, height=10000, time=2.122733
COLS: cores=57, threads=1, width=10000, height=10000, time=2.087074
COLS: cores=58, threads=1, width=10000, height=10000, time=2.038690
COLS: cores=59, threads=1, width=10000, height=10000, time=2.016167
COLS: cores=60, threads=1, width=10000, height=10000, time=1.981946
COLS: cores=61, threads=1, width=10000, height=10000, time=1.961339
COLS: cores=62, threads=1, width=10000, height=10000, time=1.912842
COLS: cores=63, threads=1, width=10000, height=10000, time=1.903140
COLS: cores=64, threads=1, width=10000, height=10000, time=1.853998
COLS: cores=65, threads=1, width=10000, height=10000, time=1.844279
COLS: cores=66, threads=1, width=10000, height=10000, time=1.812604
COLS: cores=67, threads=1, width=10000, height=10000, time=1.785887
COLS: cores=68, threads=1, width=10000, height=10000, time=1.746284
COLS: cores=69, threads=1, width=10000, height=10000, time=1.740303
COLS: cores=70, threads=1, width=10000, height=10000, time=1.705665
COLS: cores=71, threads=1, width=10000, height=10000, time=1.692573
COLS: cores=72, threads=1, width=10000, height=10000, time=1.659448
COLS: cores=73, threads=1, width=10000, height=10000, time=1.646158
COLS: cores=74, threads=1, width=10000, height=10000, time=1.612605
COLS: cores=75, threads=1, width=10000, height=10000, time=1.597639
COLS: cores=76, threads=1, width=10000, height=10000, time=1.582262
COLS: cores=77, threads=1, width=10000, height=10000, time=1.567628
COLS: cores=78, threads=1, width=10000, height=10000, time=1.529501
COLS: cores=79, threads=1, width=10000, height=10000, time=1.527978
COLS: cores=80, threads=1, width=10000, height=10000, time=1.495562
COLS: cores=81, threads=1, width=10000, height=10000, time=1.482170
COLS: cores=82, threads=1, width=10000, height=10000, time=1.459884
COLS: cores=83, threads=1, width=10000, height=10000, time=1.445788
COLS: cores=84, threads=1, width=10000, height=10000, time=1.425599
COLS: cores=85, threads=1, width=10000, height=10000, time=1.423647
COLS: cores=86, threads=1, width=10000, height=10000, time=1.394696
COLS: cores=87, threads=1, width=10000, height=10000, time=1.392411
COLS: cores=88, threads=1, width=10000, height=10000, time=1.371338
COLS: cores=89, threads=1, width=10000, height=10000, time=1.352341
COLS: cores=90, threads=1, width=10000, height=10000, time=1.337641
COLS: cores=91, threads=1, width=10000, height=10000, time=1.333789
COLS: cores=92, threads=1, width=10000, height=10000, time=1.315618
COLS: cores=93, threads=1, width=10000, height=10000, time=1.307101
COLS: cores=94, threads=1, width=10000, height=10000, time=1.280873
COLS: cores=95, threads=1, width=10000, height=10000, time=1.271522
COLS: cores=96, threads=1, width=10000, height=10000, time=1.255629
COLS: cores=97, threads=1, width=10000, height=10000, time=1.252242
COLS: cores=98, threads=1, width=10000, height=10000, time=1.230047
COLS: cores=99, threads=1, width=10000, height=10000, time=1.229621
COLS: cores=100, threads=1, width=10000, height=10000, time=1.204495
COLS: cores=101, threads=1, width=10000, height=10000, time=1.203663
COLS: cores=102, threads=1, width=10000, height=10000, time=1.184628
COLS: cores=103, threads=1, width=10000, height=10000, time=1.179185
COLS: cores=104, threads=1, width=10000, height=10000, time=1.162501
COLS: cores=105, threads=1, width=10000, height=10000, time=1.155688
COLS: cores=106, threads=1, width=10000, height=10000, time=1.140740
COLS: cores=107, threads=1, width=10000, height=10000, time=1.129069
COLS: cores=108, threads=1, width=10000, height=10000, time=1.139358
COLS: cores=109, threads=1, width=10000, height=10000, time=1.121956
COLS: cores=110, threads=1, width=10000, height=10000, time=1.109089
COLS: cores=111, threads=1, width=10000, height=10000, time=1.099543
COLS: cores=112, threads=1, width=10000, height=10000, time=1.083060
COLS: cores=113, threads=1, width=10000, height=10000, time=1.072643
COLS: cores=114, threads=1, width=10000, height=10000, time=1.073892
COLS: cores=115, threads=1, width=10000, height=10000, time=1.061576
COLS: cores=116, threads=1, width=10000, height=10000, time=1.057874
COLS: cores=117, threads=1, width=10000, height=10000, time=1.037414
COLS: cores=118, threads=1, width=10000, height=10000, time=1.039311
COLS: cores=119, threads=1, width=10000, height=10000, time=1.028052
COLS: cores=120, threads=1, width=10000, height=10000, time=1.014385
COLS: cores=121, threads=1, width=10000, height=10000, time=1.014278
COLS: cores=122, threads=1, width=10000, height=10000, time=0.997325
COLS: cores=123, threads=1, width=10000, height=10000, time=0.992185
COLS: cores=124, threads=1, width=10000, height=10000, time=0.994549
COLS: cores=125, threads=1, width=10000, height=10000, time=0.978969
COLS: cores=126, threads=1, width=10000, height=10000, time=0.969022
COLS: cores=127, threads=1, width=10000, height=10000, time=0.966906
COLS: cores=128, threads=1, width=10000, height=10000, time=0.960066
