COLS: cores=99, threads=1, width=10000, height=10000, time=1.862677
COLS: cores=100, threads=1, width=10000, height=10000, time=1.833318
COLS: cores=101, threads=1, width=10000, height=10000, time=1.832962
COLS: cores=102, threads=1, width=10000, height=10000, time=1.799117
COLS: cores=103, threads=1, width=10000, height=10000, time=1.790954
COLS: cores=104, threads=1, width=10000, height=10000, time=1.774018
COLS: cores=105, threads=1, width=10000, height=10000, time=1.745336
COLS: cores=106, threads=1, width=10000, height=10000, time=1.742056
COLS: cores=107, threads=1, width=10000, height=10000, time=1.709084
COLS: cores=108, threads=1, width=10000, height=10000, time=1.701240
COLS: cores=109, threads=1, width=10000, height=10000, time=1.704422
COLS: cores=110, threads=1, width=10000, height=10000, time=1.673551
COLS: cores=111, threads=1, width=10000, height=10000, time=1.664911
COLS: cores=112, threads=1, width=10000, height=10000, time=1.650499
COLS: cores=113, threads=1, width=10000, height=10000, time=1.628610
COLS: cores=114, threads=1, width=10000, height=10000, time=1.641990
COLS: cores=115, threads=1, width=10000, height=10000, time=1.611440
COLS: cores=116, threads=1, width=10000, height=10000, time=1.589178
COLS: cores=117, threads=1, width=10000, height=10000, time=1.575330
COLS: cores=118, threads=1, width=10000, height=10000, time=1.563903
COLS: cores=119, threads=1, width=10000, height=10000, time=1.563659
COLS: cores=120, threads=1, width=10000, height=10000, time=1.540729
COLS: cores=121, threads=1, width=10000, height=10000, time=1.542410
COLS: cores=122, threads=1, width=10000, height=10000, time=1.526069
COLS: cores=123, threads=1, width=10000, height=10000, time=1.498887
COLS: cores=124, threads=1, width=10000, height=10000, time=1.507633
COLS: cores=125, threads=1, width=10000, height=10000, time=1.491428
COLS: cores=126, threads=1, width=10000, height=10000, time=1.458987
COLS: cores=127, threads=1, width=10000, height=10000, time=1.470561
COLS: cores=128, threads=1, width=10000, height=10000, time=1.452656
COLS: cores=129, threads=1, width=10000, height=10000, time=1.431320
COLS: cores=130, threads=1, width=10000, height=10000, time=1.433628
COLS: cores=131, threads=1, width=10000, height=10000, time=1.413340
