COLS: cores=1, threads=1, width=10000, height=10000, time=55.424151
COLS: cores=2, threads=1, width=10000, height=10000, time=27.738995
COLS: cores=3, threads=1, width=10000, height=10000, time=33.434526
COLS: cores=4, threads=1, width=10000, height=10000, time=22.417028
COLS: cores=5, threads=1, width=10000, height=10000, time=21.988357
COLS: cores=6, threads=1, width=10000, height=10000, time=16.766968
COLS: cores=7, threads=1, width=10000, height=10000, time=16.033186
COLS: cores=8, threads=1, width=10000, height=10000, time=13.458835
COLS: cores=9, threads=1, width=10000, height=10000, time=12.588214
COLS: cores=10, threads=1, width=10000, height=10000, time=11.020021
COLS: cores=11, threads=1, width=10000, height=10000, time=10.388208
COLS: cores=12, threads=1, width=10000, height=10000, time=9.312797
COLS: cores=13, threads=1, width=10000, height=10000, time=8.852224
COLS: cores=14, threads=1, width=10000, height=10000, time=8.038811
COLS: cores=15, threads=1, width=10000, height=10000, time=7.736994
COLS: cores=16, threads=1, width=10000, height=10000, time=7.106011
COLS: cores=17, threads=1, width=10000, height=10000, time=6.846841
COLS: cores=18, threads=1, width=10000, height=10000, time=6.341460
COLS: cores=19, threads=1, width=10000, height=10000, time=6.123572
COLS: cores=20, threads=1, width=10000, height=10000, time=5.743638
COLS: cores=21, threads=1, width=10000, height=10000, time=5.577550
COLS: cores=22, threads=1, width=10000, height=10000, time=5.238440
COLS: cores=23, threads=1, width=10000, height=10000, time=5.108514
COLS: cores=24, threads=1, width=10000, height=10000, time=4.797355
COLS: cores=25, threads=1, width=10000, height=10000, time=4.683217
COLS: cores=26, threads=1, width=10000, height=10000, time=4.471294
COLS: cores=27, threads=1, width=10000, height=10000, time=4.362613
COLS: cores=28, threads=1, width=10000, height=10000, time=4.147749
COLS: cores=29, threads=1, width=10000, height=10000, time=4.050926
COLS: cores=30, threads=1, width=10000, height=10000, time=3.907787
COLS: cores=31, threads=1, width=10000, height=10000, time=3.814511
COLS: cores=32, threads=1, width=10000, height=10000, time=3.653052
COLS: cores=33, threads=1, width=10000, height=10000, time=3.559212
COLS: cores=34, threads=1, width=10000, height=10000, time=3.458289
COLS: cores=35, threads=1, width=10000, height=10000, time=3.363897
COLS: cores=36, threads=1, width=10000, height=10000, time=3.257888
COLS: cores=37, threads=1, width=10000, height=10000, time=3.215996
COLS: cores=38, threads=1, width=10000, height=10000, time=3.123350
COLS: cores=39, threads=1, width=10000, height=10000, time=3.053223
COLS: cores=40, threads=1, width=10000, height=10000, time=2.971805
COLS: cores=41, threads=1, width=10000, height=10000, time=2.883952
COLS: cores=42, threads=1, width=10000, height=10000, time=2.826920
COLS: cores=43, threads=1, width=10000, height=10000, time=2.758233
COLS: cores=44, threads=1, width=10000, height=10000, time=2.689768
COLS: cores=45, threads=1, width=10000, height=10000, time=2.632084
COLS: cores=46, threads=1, width=10000, height=10000, time=2.598832
COLS: cores=47, threads=1, width=10000, height=10000, time=2.564751
COLS: cores=48, threads=1, width=10000, height=10000, time=2.499909
COLS: cores=49, threads=1, width=10000, height=10000, time=2.446405
COLS: cores=50, threads=1, width=10000, height=10000, time=2.386574
COLS: cores=51, threads=1, width=10000, height=10000, time=2.355300
COLS: cores=52, threads=1, width=10000, height=10000, time=2.297028
COLS: cores=53, threads=1, width=10000, height=10000, time=2.274897
COLS: cores=54, threads=1, width=10000, height=10000, time=2.230789
COLS: cores=55, threads=1, width=10000, height=10000, time=2.193541
COLS: cores=56, threads=1, width=10000, height=10000, time=2.120791
COLS: cores=57, threads=1, width=10000, height=10000, time=2.125384
COLS: cores=58, threads=1, width=10000, height=10000, time=2.064178
COLS: cores=59, threads=1, width=10000, height=10000, time=2.057028
COLS: cores=60, threads=1, width=10000, height=10000, time=2.007193
COLS: cores=61, threads=1, width=10000, height=10000, time=1.982833
COLS: cores=62, threads=1, width=10000, height=10000, time=1.936116
COLS: cores=63, threads=1, width=10000, height=10000, time=1.946062
COLS: cores=64, threads=1, width=10000, height=10000, time=1.881815
COLS: cores=65, threads=1, width=10000, height=10000, time=1.872432
COLS: cores=66, threads=1, width=10000, height=10000, time=1.857184
COLS: cores=67, threads=1, width=10000, height=10000, time=1.797440
COLS: cores=68, threads=1, width=10000, height=10000, time=1.778272
COLS: cores=69, threads=1, width=10000, height=10000, time=1.765582
COLS: cores=70, threads=1, width=10000, height=10000, time=1.729557
COLS: cores=71, threads=1, width=10000, height=10000, time=1.718421
COLS: cores=72, threads=1, width=10000, height=10000, time=1.701253
COLS: cores=73, threads=1, width=10000, height=10000, time=1.676995
COLS: cores=74, threads=1, width=10000, height=10000, time=1.649534
COLS: cores=75, threads=1, width=10000, height=10000, time=1.629831
COLS: cores=76, threads=1, width=10000, height=10000, time=1.628049
COLS: cores=77, threads=1, width=10000, height=10000, time=1.564971
COLS: cores=78, threads=1, width=10000, height=10000, time=1.557867
COLS: cores=79, threads=1, width=10000, height=10000, time=1.526919
COLS: cores=80, threads=1, width=10000, height=10000, time=1.514159
