STRIPS OMP: cores=1, threads=1, width=10000, height=10000, time=55.339181
STRIPS OMP: cores=1, threads=2, width=10000, height=10000, time=27.696989
STRIPS OMP: cores=1, threads=3, width=10000, height=10000, time=18.483388
STRIPS OMP: cores=1, threads=4, width=10000, height=10000, time=13.897464
STRIPS OMP: cores=1, threads=5, width=10000, height=10000, time=11.149704
STRIPS OMP: cores=1, threads=6, width=10000, height=10000, time=9.318743
STRIPS OMP: cores=1, threads=7, width=10000, height=10000, time=7.986057
STRIPS OMP: cores=1, threads=8, width=10000, height=10000, time=7.070195
STRIPS OMP: cores=1, threads=9, width=10000, height=10000, time=6.224913
STRIPS OMP: cores=1, threads=10, width=10000, height=10000, time=5.621551
STRIPS OMP: cores=1, threads=11, width=10000, height=10000, time=5.106499
STRIPS OMP: cores=1, threads=12, width=10000, height=10000, time=4.692292
STRIPS OMP: cores=1, threads=13, width=10000, height=10000, time=4.335092
STRIPS OMP: cores=1, threads=14, width=10000, height=10000, time=4.031942
STRIPS OMP: cores=1, threads=15, width=10000, height=10000, time=3.767759
STRIPS OMP: cores=1, threads=16, width=10000, height=10000, time=3.543235
STRIPS OMP: cores=1, threads=17, width=10000, height=10000, time=3.341079
STRIPS OMP: cores=1, threads=18, width=10000, height=10000, time=3.163352
STRIPS OMP: cores=1, threads=19, width=10000, height=10000, time=2.996317
STRIPS OMP: cores=1, threads=20, width=10000, height=10000, time=2.852472
STRIPS OMP: cores=1, threads=21, width=10000, height=10000, time=2.722382
STRIPS OMP: cores=1, threads=22, width=10000, height=10000, time=2.605463
STRIPS OMP: cores=1, threads=23, width=10000, height=10000, time=2.495704
STRIPS OMP: cores=1, threads=24, width=10000, height=10000, time=2.396852
STRIPS OMP: cores=1, threads=25, width=10000, height=10000, time=2.307333
STRIPS OMP: cores=1, threads=26, width=10000, height=10000, time=2.222198
STRIPS OMP: cores=1, threads=27, width=10000, height=10000, time=2.151674
STRIPS OMP: cores=1, threads=28, width=10000, height=10000, time=2.082330
STRIPS OMP: cores=1, threads=29, width=10000, height=10000, time=2.016159
STRIPS OMP: cores=1, threads=30, width=10000, height=10000, time=1.961373
STRIPS OMP: cores=1, threads=31, width=10000, height=10000, time=1.882304
STRIPS OMP: cores=1, threads=32, width=10000, height=10000, time=1.811304
STRIPS OMP: cores=1, threads=33, width=10000, height=10000, time=1.771583
STRIPS OMP: cores=1, threads=34, width=10000, height=10000, time=1.702541
STRIPS OMP: cores=1, threads=35, width=10000, height=10000, time=1.661815
STRIPS OMP: cores=1, threads=36, width=10000, height=10000, time=1.616526
STRIPS OMP: cores=1, threads=37, width=10000, height=10000, time=1.570076
STRIPS OMP: cores=1, threads=38, width=10000, height=10000, time=1.532194
STRIPS OMP: cores=1, threads=39, width=10000, height=10000, time=1.494089
STRIPS OMP: cores=1, threads=40, width=10000, height=10000, time=1.457606
STRIPS OMP: cores=1, threads=41, width=10000, height=10000, time=1.424651
STRIPS OMP: cores=1, threads=42, width=10000, height=10000, time=1.392377
STRIPS OMP: cores=1, threads=43, width=10000, height=10000, time=1.361242
STRIPS OMP: cores=1, threads=44, width=10000, height=10000, time=1.332249
STRIPS OMP: cores=1, threads=45, width=10000, height=10000, time=1.303421
STRIPS OMP: cores=1, threads=46, width=10000, height=10000, time=1.277600
STRIPS OMP: cores=1, threads=47, width=10000, height=10000, time=1.252223
STRIPS OMP: cores=1, threads=48, width=10000, height=10000, time=1.228243
STRIPS OMP: cores=1, threads=49, width=10000, height=10000, time=1.204355
STRIPS OMP: cores=1, threads=50, width=10000, height=10000, time=1.182499
STRIPS OMP: cores=1, threads=51, width=10000, height=10000, time=1.160716
STRIPS OMP: cores=1, threads=52, width=10000, height=10000, time=1.139859
STRIPS OMP: cores=1, threads=53, width=10000, height=10000, time=1.119425
STRIPS OMP: cores=1, threads=54, width=10000, height=10000, time=1.103814
STRIPS OMP: cores=1, threads=55, width=10000, height=10000, time=1.082576
STRIPS OMP: cores=1, threads=56, width=10000, height=10000, time=1.064688
STRIPS OMP: cores=1, threads=57, width=10000, height=10000, time=1.047370
STRIPS OMP: cores=1, threads=58, width=10000, height=10000, time=1.031450
STRIPS OMP: cores=1, threads=59, width=10000, height=10000, time=1.015425
STRIPS OMP: cores=1, threads=60, width=10000, height=10000, time=0.998832
STRIPS OMP: cores=1, threads=61, width=10000, height=10000, time=0.984518
STRIPS OMP: cores=1, threads=62, width=10000, height=10000, time=0.970715
STRIPS OMP: cores=1, threads=63, width=10000, height=10000, time=0.955447
STRIPS OMP: cores=1, threads=64, width=10000, height=10000, time=0.942103
STRIPS OMP: cores=1, threads=65, width=10000, height=10000, time=0.943879
STRIPS OMP: cores=1, threads=66, width=10000, height=10000, time=0.943244
STRIPS OMP: cores=1, threads=67, width=10000, height=10000, time=0.942454
STRIPS OMP: cores=1, threads=68, width=10000, height=10000, time=0.942796
STRIPS OMP: cores=1, threads=69, width=10000, height=10000, time=0.942131
STRIPS OMP: cores=1, threads=70, width=10000, height=10000, time=0.942188
STRIPS OMP: cores=1, threads=71, width=10000, height=10000, time=0.941763
STRIPS OMP: cores=1, threads=72, width=10000, height=10000, time=0.941954
STRIPS OMP: cores=1, threads=73, width=10000, height=10000, time=0.941376
STRIPS OMP: cores=1, threads=74, width=10000, height=10000, time=0.941152
STRIPS OMP: cores=1, threads=75, width=10000, height=10000, time=0.942294
STRIPS OMP: cores=1, threads=76, width=10000, height=10000, time=0.940698
STRIPS OMP: cores=1, threads=77, width=10000, height=10000, time=0.940738
STRIPS OMP: cores=1, threads=78, width=10000, height=10000, time=0.938914
STRIPS OMP: cores=1, threads=79, width=10000, height=10000, time=0.939960
STRIPS OMP: cores=1, threads=80, width=10000, height=10000, time=0.938776
STRIPS OMP: cores=1, threads=81, width=10000, height=10000, time=0.940578
STRIPS OMP: cores=1, threads=82, width=10000, height=10000, time=0.939488
STRIPS OMP: cores=1, threads=83, width=10000, height=10000, time=0.937836
STRIPS OMP: cores=1, threads=84, width=10000, height=10000, time=0.937985
STRIPS OMP: cores=1, threads=85, width=10000, height=10000, time=0.937944
STRIPS OMP: cores=1, threads=86, width=10000, height=10000, time=0.938306
STRIPS OMP: cores=1, threads=87, width=10000, height=10000, time=0.937374
STRIPS OMP: cores=1, threads=88, width=10000, height=10000, time=0.936063
STRIPS OMP: cores=1, threads=89, width=10000, height=10000, time=0.936047
STRIPS OMP: cores=1, threads=90, width=10000, height=10000, time=0.937474
STRIPS OMP: cores=1, threads=91, width=10000, height=10000, time=0.936807
STRIPS OMP: cores=1, threads=92, width=10000, height=10000, time=0.935396
STRIPS OMP: cores=1, threads=93, width=10000, height=10000, time=0.935052
STRIPS OMP: cores=1, threads=94, width=10000, height=10000, time=0.934956
STRIPS OMP: cores=1, threads=95, width=10000, height=10000, time=0.936174
STRIPS OMP: cores=1, threads=96, width=10000, height=10000, time=0.934225
STRIPS OMP: cores=1, threads=97, width=10000, height=10000, time=0.935855
STRIPS OMP: cores=1, threads=98, width=10000, height=10000, time=0.933954
STRIPS OMP: cores=1, threads=99, width=10000, height=10000, time=0.934149
STRIPS OMP: cores=1, threads=100, width=10000, height=10000, time=0.933681
STRIPS OMP: cores=1, threads=101, width=10000, height=10000, time=0.932565
STRIPS OMP: cores=1, threads=102, width=10000, height=10000, time=0.932762
STRIPS OMP: cores=1, threads=103, width=10000, height=10000, time=0.933112
STRIPS OMP: cores=1, threads=104, width=10000, height=10000, time=0.931123
STRIPS OMP: cores=1, threads=105, width=10000, height=10000, time=0.931482
STRIPS OMP: cores=1, threads=106, width=10000, height=10000, time=0.930804
STRIPS OMP: cores=1, threads=107, width=10000, height=10000, time=0.931759
STRIPS OMP: cores=1, threads=108, width=10000, height=10000, time=0.931027
STRIPS OMP: cores=1, threads=109, width=10000, height=10000, time=0.932671
STRIPS OMP: cores=1, threads=110, width=10000, height=10000, time=0.930219
STRIPS OMP: cores=1, threads=111, width=10000, height=10000, time=0.929788
STRIPS OMP: cores=1, threads=112, width=10000, height=10000, time=0.929692
STRIPS OMP: cores=1, threads=113, width=10000, height=10000, time=0.928631
STRIPS OMP: cores=1, threads=114, width=10000, height=10000, time=0.929572
STRIPS OMP: cores=1, threads=115, width=10000, height=10000, time=0.928754
STRIPS OMP: cores=1, threads=116, width=10000, height=10000, time=0.929972
STRIPS OMP: cores=1, threads=117, width=10000, height=10000, time=0.929066
STRIPS OMP: cores=1, threads=118, width=10000, height=10000, time=0.930835
STRIPS OMP: cores=1, threads=119, width=10000, height=10000, time=0.929133
STRIPS OMP: cores=1, threads=120, width=10000, height=10000, time=0.927755
STRIPS OMP: cores=1, threads=121, width=10000, height=10000, time=0.931646
STRIPS OMP: cores=1, threads=122, width=10000, height=10000, time=0.929118
STRIPS OMP: cores=1, threads=123, width=10000, height=10000, time=0.928429
STRIPS OMP: cores=1, threads=124, width=10000, height=10000, time=0.928599
STRIPS OMP: cores=1, threads=125, width=10000, height=10000, time=0.927088
STRIPS OMP: cores=1, threads=126, width=10000, height=10000, time=0.926326
STRIPS OMP: cores=1, threads=127, width=10000, height=10000, time=0.927142
STRIPS OMP: cores=1, threads=128, width=10000, height=10000, time=0.929021
