number_processes,Size,Latency
2,2,0.17
2,4,0.17
2,8,0.17
2,16,0.16
2,32,0.17
2,64,0.18
2,128,0.21
2,256,0.22
2,512,0.23
2,1024,0.25
4,2,0.27
4,4,0.26
4,8,0.26
4,16,0.26
4,32,0.27
4,64,0.27
4,128,0.36
4,256,0.37
4,512,0.39
4,1024,0.43
8,2,0.69
8,4,0.65
8,8,0.63
8,16,0.64
8,32,0.76
8,64,0.69
8,128,0.93
8,256,0.96
8,512,1.08
8,1024,1.25
16,2,0.78
16,4,0.77
16,8,0.78
16,16,0.77
16,32,0.92
16,64,0.91
16,128,1.18
16,256,1.23
16,512,1.31
16,1024,1.66
32,2,0.91
32,4,0.89
32,8,0.90
32,16,0.90
32,32,1.04
32,64,1.04
32,128,1.42
32,256,1.46
32,512,1.60
32,1024,2.15
64,2,1.07
64,4,1.04
64,8,1.04
64,16,1.04
64,32,1.25
64,64,1.31
64,128,1.71
64,256,1.76
64,512,1.96
64,1024,2.64
128,2,1.54
128,4,1.55
128,8,1.55
128,16,1.56
128,32,1.92
128,64,1.91
128,128,2.43
128,256,2.56
128,512,3.00
128,1024,3.80
256,2,4.95
256,4,5.20
256,8,5.02
256,16,5.00
256,32,4.96
256,64,4.89
256,128,4.88
256,256,5.27
256,512,5.91
256,1024,7.72
