number_processes,Size,Latency
2,2,0.17
2,4,0.16
2,8,0.15
2,16,0.16
2,32,0.18
2,64,0.18
2,128,0.21
2,256,0.21
2,512,0.24
2,1024,0.26
4,2,0.24
4,4,0.24
4,8,0.25
4,16,0.25
4,32,0.25
4,64,0.25
4,128,0.34
4,256,0.35
4,512,0.37
4,1024,0.42
8,2,0.53
8,4,0.51
8,8,0.51
8,16,0.50
8,32,0.55
8,64,0.54
8,128,0.69
8,256,0.70
8,512,0.75
8,1024,0.81
16,2,0.56
16,4,0.56
16,8,0.55
16,16,0.55
16,32,0.62
16,64,0.60
16,128,0.75
16,256,0.79
16,512,0.80
16,1024,0.89
32,2,0.65
32,4,0.64
32,8,0.63
32,16,0.63
32,32,0.70
32,64,0.68
32,128,0.82
32,256,0.83
32,512,0.86
32,1024,1.02
64,2,0.73
64,4,0.73
64,8,0.76
64,16,0.73
64,32,0.84
64,64,1.00
64,128,1.10
64,256,1.09
64,512,1.06
64,1024,1.09
128,2,0.92
128,4,1.04
128,8,0.89
128,16,0.95
128,32,1.49
128,64,1.03
128,128,1.26
128,256,1.20
128,512,1.22
128,1024,1.26
256,2,0.64
256,4,0.64
256,8,0.62
256,16,0.69
256,32,0.68
256,64,0.65
256,128,0.85
256,256,0.87
256,512,0.90
256,1024,1.00
